Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
Python,AI Software Engineer (Python),EPAM,https://jobs.dou.ua/companies/epam-systems/vacancies/353643/,Not Specified,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Одеса', 'Харків', 'Чернівці', 'Черкаси', 'Хмельницький', 'Ужгород']",True
Python,Senior Python Engineer (with ReactJS experience),Adaptiq,https://jobs.dou.ua/companies/adaptiq/vacancies/347620/,Senior,,,Not Specified,['Remote Only'],True
Python,Senior TypeScript/Python Developer with AI Experience,COXIT,https://jobs.dou.ua/companies/coxit/vacancies/291410/,Senior,4000.0,6000.0,Not Specified,['Remote Only'],True
Python,Senior Python Developer,COAX Software,https://jobs.dou.ua/companies/coaxsoftware/vacancies/344003/,Senior,,,Not Specified,['Івано-Франківськ'],True
Python,Middle Python Developer,Stellantis,https://jobs.dou.ua/companies/stellantis/vacancies/348525/,Middle,,,Not Specified,['Remote Only'],True
Python,Data Engineer (Python ETL),VARTEQ,https://jobs.dou.ua/companies/varteq-inc/vacancies/345528/,Not Specified,,,Not Specified,['Remote Only'],True
Python,Senior Full-Stack Engineer (Python Focus),Kultprosvet,https://jobs.dou.ua/companies/kultprosvet/vacancies/353519/,Senior,,,Not Specified,['Дніпро'],True
Python,Python Verification Engineer [2257],PLVision,https://jobs.dou.ua/companies/plvision/vacancies/333127/,Not Specified,,,Not Specified,['Львів'],True
Python,Middle/ Senior Python Developer (with IoT),Eleven,https://jobs.dou.ua/companies/eleven/vacancies/353437/,Middle,,,Not Specified,['Київ'],False
Python,Strong Middle / Senior Python Developer,Uvik Software,https://jobs.dou.ua/companies/uvik-software/vacancies/326539/,Middle,,,Not Specified,['Other'],False
Python,Python QA Automation Engineer (Digital Engineering),ISsoft Ukraine,https://jobs.dou.ua/companies/issoft/vacancies/353401/,Not Specified,,,git,['Львів'],True
Python,Middle Backend Engineer (Python),Poklyk,https://jobs.dou.ua/companies/poklyk/vacancies/315450/,Middle,,,Not Specified,['Київ'],True
Python,Lead / Senior Python Engineer,Intelvision,https://jobs.dou.ua/companies/intelvision/vacancies/353375/,Senior,,,Not Specified,['Remote Only'],True
