Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
Front-end,Senior Frontend Developer,WorldTicket,https://jobs.dou.ua/companies/worldticket/vacancies/260633/,Senior,,,Not Specified,['Київ'],False
Front-end,Senior Frontend Engineer (React),Binariks,https://jobs.dou.ua/companies/binariks/vacancies/351462/,Senior,,,react,['Remote Only'],True
Front-end,Senior Front-End developer,Tango Me,https://jobs.dou.ua/companies/tango-me/vacancies/351421/,Senior,,,Not Specified,['Київ'],False
Front-end,"Middle Front-end Developer (React.js) (Shifted schedule, start at 2 p.m.)",Agiliway,https://jobs.dou.ua/companies/agiliway/vacancies/351408/,Middle,,,react,"['Львів', 'Чернівці']",True
Front-end,Frontend / Fullstack Developer (Mid-Level),Software Service and Innovation,https://jobs.dou.ua/companies/software-service-and-innovation/vacancies/351275/,Not Specified,,,Not Specified,['Львів'],False
Front-end,"Middle/Senior Frontend Engineer (3D & Graphics) in Lisbon, Portugal",Mobilunity,https://jobs.dou.ua/companies/mobilunity/vacancies/351189/,Middle,,,Not Specified,['Other'],False
Front-end,Frontend Team Lead,OXOIX,https://jobs.dou.ua/companies/oxoix/vacancies/351153/,Senior,,,Not Specified,['Remote Only'],True
Front-end,Middle Front End Developer,ICONIC21,https://jobs.dou.ua/companies/iconic21/vacancies/351149/,Middle,,,Not Specified,['Remote Only'],True
Front-end,"Senior Front-End Developer (React, Claude Code)",MWDN,https://jobs.dou.ua/companies/mwdn/vacancies/351144/,Senior,,,react,['Remote Only'],True
Front-end,Front-end developer / Верстальник,DARTC,https://jobs.dou.ua/companies/dartc/vacancies/351095/,Not Specified,,,Not Specified,['Remote Only'],True
Front-end,Senior Frontend Developer (only Odesa),Nayax Retail,https://jobs.dou.ua/companies/nayax-retail-ltd/vacancies/351094/,Senior,,,Not Specified,['Одеса'],False
Front-end,Senior Front End Developer,Pwrteams,https://jobs.dou.ua/companies/pwrteams/vacancies/351064/,Senior,,,Not Specified,"['Київ', 'Львів']",True
Front-end,Front-end Developer (Angular),CS Ltd,https://jobs.dou.ua/companies/cs-ltd/vacancies/341320/,Not Specified,,,angular,['Remote Only'],True
Front-end,Senior Frontend Engineer (React),Open Bet,https://jobs.dou.ua/companies/open-bet/vacancies/287013/,Senior,,,react,['Львів'],False
Front-end,Frontend Tech Lead,Growe,https://jobs.dou.ua/companies/growe/vacancies/350916/,Senior,,,Not Specified,['Remote Only'],True
Front-end,Angular Frontend Engineer,WeSoftYou,https://jobs.dou.ua/companies/wesoftyou/vacancies/350872/,Not Specified,,,angular,['Remote Only'],True
Front-end,Middle Front-end Engineer,Howly,https://jobs.dou.ua/companies/howly/vacancies/331598/,Middle,,,Not Specified,['Київ'],False
Front-end,"Викладач програмування у дитячу школу (HTML, CSS, JavaScript)",Logika,https://jobs.dou.ua/companies/logika/vacancies/336017/,Not Specified,240.0,500.0,"javascript, html, css",['Київ'],True
Front-end,"Intern, Front End Engineer",HelloBiome,https://jobs.dou.ua/companies/hellobiome/vacancies/350810/,Not Specified,500.0,1000.0,Not Specified,['Remote Only'],True
Front-end,Front end React engineer,SerpentiumSolutions,https://jobs.dou.ua/companies/serpentiumsolutions/vacancies/350795/,Not Specified,2300.0,2500.0,react,['Remote Only'],True
Front-end,Lead Frontend Engineer (React),Kevych Solutions,https://jobs.dou.ua/companies/kevych-solutions/vacancies/350704/,Senior,,,react,['Львів'],False
Front-end,Frontend Team Lead — TENTENS Tech,SKELAR,https://jobs.dou.ua/companies/skelar/vacancies/350619/,Senior,,,Not Specified,['Київ'],False
Front-end,Front-end Developer,DiFFreight,https://jobs.dou.ua/companies/diffreight/vacancies/350597/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Senior Front-End Developer,Stape,https://jobs.dou.ua/companies/stape-inc/vacancies/345992/,Senior,,,Not Specified,['Remote Only'],True
Front-end,"Middle+ Front-end developer (Vue, Nuxt)",Join UP!,https://jobs.dou.ua/companies/join-up/vacancies/350520/,Middle,,,vue,['Remote Only'],True
Front-end,Senior Frontend Developer (React),talanovyti agency,https://jobs.dou.ua/companies/talanovyti-agency/vacancies/341457/,Senior,,,react,['Remote Only'],True
Front-end,Frontend Developer (Angular) / UI Lead — Relocation to Oman,Introduct Group,https://jobs.dou.ua/companies/introduct/vacancies/342321/,Senior,,,angular,['Other'],False
Front-end,Lead Frontend Engineer,Liven,https://jobs.dou.ua/companies/liven/vacancies/345646/,Senior,,,Not Specified,['Київ'],False
Front-end,Frontend Shopify Developer,LegitGrails OÜ,https://jobs.dou.ua/companies/legitgrails-ou/vacancies/336767/,Not Specified,1350.0,1500.0,Not Specified,['Remote Only'],True
Front-end,Staff Front-End Engineer (React/Next.js),ExpoPlatform,https://jobs.dou.ua/companies/expoplatform/vacancies/350394/,Not Specified,,,react,['Remote Only'],True
Front-end,Frontend Developer (React),Brainstack,https://jobs.dou.ua/companies/brainstack/vacancies/350386/,Not Specified,,,react,['Київ'],False
Front-end,Senior Frontend Developer (Vue / Nuxt),TrueLabel,https://jobs.dou.ua/companies/truelabel/vacancies/345676/,Senior,,,vue,['Remote Only'],True
Front-end,"DevOps & Systems Architect | Backend Frontend Infrastructure (Remote, Part-time available)",Orange Uni,https://jobs.dou.ua/companies/orange-uni/vacancies/345178/,Senior,1750.0,2500.0,Not Specified,['Remote Only'],True
Front-end,Front-end Developer,Mobizon,https://jobs.dou.ua/companies/mobizon/vacancies/350025/,Not Specified,1500.0,2500.0,Not Specified,['Київ'],True
Front-end,"Middle Frontend Developer (React, office, Kyiv)",Delasport,https://jobs.dou.ua/companies/delasport/vacancies/349992/,Middle,,,react,['Київ'],False
Front-end,Junior Front-End Developer,TenThousand,https://jobs.dou.ua/companies/tenthousand/vacancies/349985/,Junior,400.0,800.0,Not Specified,['Київ'],False
Front-end,Manual QA Engineer (Frontend Focus),EVOPLAY,https://jobs.dou.ua/companies/evoplay/vacancies/349981/,Not Specified,,,Not Specified,['Remote Only'],True
Front-end,Staff Software Engineer (Front-end),Empat,https://jobs.dou.ua/companies/empat/vacancies/349965/,Not Specified,,,Not Specified,['Київ'],True
Front-end,Senior Front End Developer,Pwrteams,https://jobs.dou.ua/companies/pwrteams/vacancies/349843/,Senior,,,Not Specified,"['Київ', 'Львів']",True
Front-end,Front End Software Engineer,Pwrteams,https://jobs.dou.ua/companies/pwrteams/vacancies/349834/,Not Specified,,,Not Specified,"['Київ', 'Львів']",True
